scanning_run;onset;duration;trial_type;stim_file;jitter;concept
4;212,5250196;3,5;nonaffective_unlikable;socialcon_audios.lazy.wav;6;Lazy
4;224,3449748;3,5;affective_unlikable;socialcon_audios.gloomy_r.wav;6,5;Gloomy
4;237,0949596;3,5;affective_likable;socialcon_audios.cheerful.wav;6;Cheerful
4;248,9249256;3,5;nonaffective_unlikable;socialcon_audios.prejudiced_r.wav;6;Prejudiced
4;261,144892;3,5;affective_unlikable;socialcon_audios.snobbish.wav;6,5;Snobbish
4;273,4148762;3,5;nonaffective_likable;socialcon_audios.conscientious_r.wav;7;Conscientious
4;286,2348701;3,5;affective_likable;socialcon_audios.enthusiastic.wav;6;Enthusiastic
4;298,0448116;3,5;affective_unlikable;socialcon_audios.hot-tempered.wav;6;Hot-tempered
4;310,2947774;3,5;nonaffective_likable;socialcon_audios.understanding.wav;6;Understanding
4;322,5447486;3,5;nonaffective_unlikable;socialcon_audios.selfish_r.wav;7,5;Selfish
4;336,294709;3,5;affective_likable;socialcon_audios.warm-hearted.wav;6,5;Warm-hearted
4;348,6047001;3,5;nonaffective_likable;socialcon_audios.intelligent.wav;6;Intelligent
4;360,7646549;3,5;affective_likable;socialcon_audios.sympathetic.wav;8;Sympathetic
4;374,8646166;3,5;nonaffective_unlikable;socialcon_audios.irresponsible.wav;6;Irresponsible
4;386,6945895;3,5;affective_unlikable;socialcon_audios.Unforgiving_r.wav;6;Unforgiving
4;398,5245549;3,5;nonaffective_unlikable;socialcon_audios.hostile_r.wav;6;Hostile
4;410,3545375;3,5;affective_likable;socialcon_audios.sensible_r.wav;6,5;Sensible
4;422,8344956;3,5;affective_unlikable;socialcon_audios.resentful.wav;7;Resentful
4;435,6644683;3,5;nonaffective_likable;socialcon_audios.unselfish_r.wav;7;Unselfish
5;2,252641424;3,5;affective_unlikable;socialcon_audios.cruel_r.wav;6;Cruel
5;14,27271345;3,5;nonaffective_unlikable;socialcon_audios.hostile_r.wav;6,5;Hostile
5;26,58269653;3,5;nonaffective_likable;socialcon_audios.forgiving_r.wav;6;Forgiving
5;38,6127305;3,5;affective_likable;socialcon_audios.warm-hearted.wav;7;Warm-hearted
5;51,4326819;3,5;nonaffective_unlikable;socialcon_audios.rude_r.wav;6;Rude
5;63,26263562;3,5;nonaffective_likable;socialcon_audios.clever_r.wav;6;Clever
5;75,51262293;3,5;affective_unlikable;socialcon_audios.hot-tempered.wav;7;Hot-tempered
5;88,76259839;3,5;affective_likable;socialcon_audios.empathetic_r.wav;6;Empathetic
5;101,0125887;3,5;affective_likable;socialcon_audios.enthusiastic.wav;6;Enthusiastic
5;112,8425542;3,5;nonaffective_likable;socialcon_audios.sincere_r.wav;6,5;Sincere
5;125,1625491;3,5;affective_unlikable;socialcon_audios.resentful.wav;6,5;Resentful
5;137,4825306;3,5;nonaffective_unlikable;socialcon_audios.prejudiced_r.wav;8;Prejudiced
5;151,7025025;3,5;nonaffective_likable;socialcon_audios.helpful_r.wav;7,5;Helpful
5;165,0324618;3,5;nonaffective_unlikable;socialcon_audios.lazy.wav;6;Lazy
5;176,8624301;3,5;affective_likable;socialcon_audios.sympathetic.wav;6;Sympathetic
5;188,9723933;3,5;affective_unlikable;socialcon_audios.gloomy_r.wav;6,5;Gloomy
5;201,7223655;3,5;nonaffective_likable;socialcon_audios.conscientious_r.wav;6;Conscientious
5;213,5423899;3,5;affective_unlikable;socialcon_audios.envious.wav;6;Envious
5;225,7923065;3,5;affective_likable;socialcon_audios.grateful.wav;6;Grateful
5;237,6123279;3,5;nonaffective_unlikable;socialcon_audios.boring_r.wav;7;Boring
5;250,8322748;3,5;affective_unlikable;socialcon_audios.neurotic.wav;6,5;Neurotic
5;263,5821957;3,5;affective_likable;socialcon_audios.cheerful.wav;6;Cheerful
5;275,4121363;3,5;nonaffective_likable;socialcon_audios.loyal_r.wav;6;Loyal
5;287,6621113;3,5;nonaffective_unlikable;socialcon_audios.irresponsible.wav;7;Irresponsible
5;300,4920425;3,5;nonaffective_likable;socialcon_audios.understanding.wav;6;Understanding
5;312,7419997;3,5;affective_unlikable;socialcon_audios.snobbish.wav;6;Snobbish
5;324,5119596;3,5;nonaffective_unlikable;socialcon_audios.greedy_r.wav;7,5;Greedy
5;338,2619015;3,5;affective_likable;socialcon_audios.good-natured.wav;6,5;Good-natured
5;350,571857;3,5;affective_likable;socialcon_audios.kind.wav;6,5;Kind
